有消费的学号,金额,,原始学号数据
14857010601,615.14,,"'14108040226',"
14857010704,390.71,,"'14108040232',"
15102040319,742.6,,"'14802040101',"
15102040323,690,,"'14802040301',"
15102050127,227.3,,"'14802040401',"
15102050210,508.38,,"'14802040402',"
15104010102,767.91,,"'14804010201',"
15104010126,763.38,,"'14804040103',"
15104020122,428.24,,"'14804040203',"
15104020123,324.48,,"'14804040204',"
15104020202,376.82,,"'14857010401',"
15104020219,1129.02,,"'14857010601',"
15104020225,389.5,,"'14857010704',"
15104040133,391.2,,"'15102040121',"
15104050205,517.12,,"'15102040319',"
15104050228,506.95,,"'15102040323',"
15104050235,574.47,,"'15102050127',"
15105040108,496.3,,"'15102050210',"
15105040110,277.56,,"'15104010102',"
15105040111,632.22,,"'15104010126',"
15105040125,617.02,,"'15104020122',"
15105040127,497.8,,"'15104020123',"
15105040130,401.8,,"'15104020202',"
15105040134,567.86,,"'15104020219',"
15105050116,694.6,,"'15104020225',"
15151010122,493.3,,"'15104040133',"
15151010129,493.5,,"'15104050205',"
15151010223,804.54,,"'15104050228',"
15151010323,642.03,,"'15104050235',"
15151010324,926.66,,"'15105040108',"
15151010417,358.85,,"'15105040110',"
15151010421,726,,"'15105040111',"
15151010423,537.2,,"'15105040125',"
15151010424,590.4,,"'15105040127',"
15151010519,479.1,,"'15105040130',"
15151010527,604.7,,"'15105040134',"
15151010629,706.2,,"'15105050116',"
15151010821,436.5,,"'15151010122',"
15152010101,549.86,,"'15151010129',"
15152010129,733.1,,"'15151010223',"
15152010218,454.9,,"'15151010323',"
15152010219,679.2,,"'15151010324',"
15152010225,803.7,,"'15151010417',"
15152010226,635.45,,"'15151010421',"
15152010229,295.7,,"'15151010423',"
15152010301,837.9,,"'15151010424',"
15152010319,468.9,,"'15151010519',"
15152010320,934.3,,"'15151010527',"
15152010326,615.9,,"'15151010629',"
15152010401,364.75,,"'15151010821',"
15152010417,423.1,,"'15152010101',"
15152010427,671.78,,"'15152010129',"
15152010619,668.8,,"'15152010218',"
15152010621,451.66,,"'15152010219',"
15152010626,439.68,,"'15152010225',"
15152010630,508.1,,"'15152010226',"
15152010720,610.3,,"'15152010229',"
15152010722,684.96,,"'15152010301',"
15152010727,386.78,,"'15152010319',"
15152010729,335.66,,"'15152010320',"
15152010820,776,,"'15152010326',"
15152010822,377.7,,"'15152010401',"
15152010827,658.89,,"'15152010417',"
15152010917,888.2,,"'15152010427',"
15152010918,513.65,,"'15152010619',"
15152010921,378.2,,"'15152010621',"
15152010923,551,,"'15152010626',"
15152010926,547.1,,"'15152010630',"
15152010927,701.72,,"'15152010720',"
15152011014,172.6,,"'15152010722',"
15152011015,400.8,,"'15152010727',"
15152011021,614.3,,"'15152010729',"
15152011023,461.57,,"'15152010820',"
15153010101,586.05,,"'15152010822',"
15153010117,389.24,,"'15152010827',"
15153010123,543.4,,"'15152010917',"
15153010127,490.1,,"'15152010918',"
15153010218,587.4,,"'15152010921',"
15153010220,535.58,,"'15152010923',"
15153010223,411.24,,"'15152010926',"
15153010317,685.5,,"'15152010927',"
15153010319,538.53,,"'15152011014',"
15153010320,358.81,,"'15152011015',"
15153010327,767.3,,"'15152011021',"
15153010328,321.02,,"'15152011023',"
15153010417,793.6,,"'15153010101',"
15153010419,308.5,,"'15153010117',"
15153010423,109.33,,"'15153010123',"
15153010428,697.5,,"'15153010125',"
15153010517,924.4,,"'15153010127',"
15153010518,430.66,,"'15153010218',"
15153010519,139.6,,"'15153010220',"
15153010521,178,,"'15153010223',"
15153010522,600.41,,"'15153010317',"
15153010525,359.12,,"'15153010319',"
15153010528,560.6,,"'15153010320',"
15153010601,221.2,,"'15153010325',"
15153010616,276.1,,"'15153010327',"
15153010617,309.9,,"'15153010328',"
15153010621,42.6,,"'15153010417',"
15153010625,30,,"'15153010419',"
15153010626,702.65,,"'15153010420',"
15153010627,737.18,,"'15153010423',"
15153010718,352.8,,"'15153010428',"
15153010719,795.6,,"'15153010517',"
15153010726,730.27,,"'15153010518',"
15153010816,577.6,,"'15153010519',"
15153010818,746.1,,"'15153010521',"
15153010819,649.4,,"'15153010522',"
15153010821,601.5,,"'15153010525',"
15153010824,477.19,,"'15153010528',"
15153010826,519.6,,"'15153010601',"
15153010916,601.1,,"'15153010616',"
15153010918,681.9,,"'15153010617',"
15153010919,503.8,,"'15153010621',"
15153010922,352.4,,"'15153010625',"
15153010923,720.9,,"'15153010626',"
15153010924,717.7,,"'15153010627',"
15153010928,300.02,,"'15153010718',"
15154010114,528.55,,"'15153010719',"
15154010115,749.34,,"'15153010726',"
15154010116,592.51,,"'15153010816',"
15154010122,428.56,,"'15153010818',"
15154010215,441,,"'15153010819',"
15154010217,246,,"'15153010821',"
15154010226,379.64,,"'15153010824',"
15154010228,596.28,,"'15153010826',"
15154010313,732.66,,"'15153010916',"
15154010315,580,,"'15153010918',"
15154010324,513.3,,"'15153010919',"
15154010607,632.92,,"'15153010922',"
15154010614,506.7,,"'15153010923',"
15154010702,474.8,,"'15153010924',"
15154010813,1629.55,,"'15153010928',"
15154010826,506.43,,"'15153011027',"
15154010828,467.87,,"'15154010114',"
15154011003,1016.4,,"'15154010115',"
15154011013,385.4,,"'15154010116',"
15154011020,1182.01,,"'15154010122',"
15154011101,1219.36,,"'15154010215',"
15154011120,406.6,,"'15154010217',"
15154011126,432.81,,"'15154010226',"
15155010222,1012.8,,"'15154010228',"
15155010324,479.9,,"'15154010313',"
15155010422,490.1,,"'15154010315',"
15155010516,506.46,,"'15154010317',"
15155010617,529.71,,"'15154010324',"
15155010621,353,,"'15154010607',"
15155010624,823.25,,"'15154010614',"
15155020119,567.7,,"'15154010702',"
15155020123,1058.74,,"'15154010722',"
15155020202,625.4,,"'15154010813',"
15155020217,701.5,,"'15154010826',"
15155020230,648.4,,"'15154010828',"
15155020329,834.46,,"'15154011003',"
15155020421,737.4,,"'15154011013',"
15156010218,447.1,,"'15154011020',"
15156010223,262.5,,"'15154011101',"
15156010224,556.52,,"'15154011120',"
15156010226,1002.2,,"'15154011126',"
15156010321,722.6,,"'15155010222',"
15156010323,343.46,,"'15155010324',"
15156010417,687.94,,"'15155010422',"
15156010528,888.48,,"'15155010516',"
15156010716,738.7,,"'15155010617',"
15156010726,647,,"'15155010621',"
15156011004,747.57,,"'15155010624',"
15156011018,312.8,,"'15155020119',"
15157010222,429.1,,"'15155020123',"
15157010228,727.8,,"'15155020202',"
15157010320,451.62,,"'15155020217',"
15157010329,557.04,,"'15155020230',"
15157010331,544.2,,"'15155020329',"
15157010427,516.9,,"'15155020421',"
15157010521,384.21,,"'15156010218',"
15157010601,234.1,,"'15156010223',"
15157010625,648.6,,"'15156010224',"
15157010706,534.3,,"'15156010226',"
15157010708,818.36,,"'15156010321',"
15157010710,491.4,,"'15156010323',"
15157010723,362.6,,"'15156010417',"
15157010725,607.28,,"'15156010528',"
15157010726,525.9,,"'15156010716',"
15159010110,547.9,,"'15156010726',"
15159010130,670.8,,"'15156011004',"
15159010423,135.08,,"'15156011018',"
15159010431,428.6,,"'15157010202',"
15804040102,402.1,,"'15157010222',"
15804050301,399,,"'15157010228',"
15857010303,171.3,,"'15157010320',"
15857010501,418.6,,"'15157010329',"
15857010601,323.88,,"'15157010331',"
15901030619,388.83,,"'15157010427',"
15901030632,554.3,,"'15157010521',"
15901060103,1299.76,,"'15157010601',"
15901060301,198.56,,"'15157010625',"
15902010401,235,,"'15157010706',"
15902010520,242.1,,"'15157010708',"
15902020610,305,,"'15157010710',"
15902020615,270.85,,"'15157010723',"
15902020717,90.8,,"'15157010725',"
15902040312,757.06,,"'15157010726',"
15902040313,356.8,,"'15159010110',"
15902040314,22.4,,"'15159010130',"
15902040319,182.68,,"'15159010423',"
15902060316,559.64,,"'15159010431',"
15904020309,579.48,,"'15804040102',"
16101130105,513,,"'15804050301',"
16102040232,684.3,,"'15857010303',"
16102040238,373.48,,"'15857010501',"
16102040339,835.8,,"'15857010601',"
16102040436,623.21,,"'15901030619',"
16104010120,676.68,,"'15901030632',"
16104020111,484.9,,"'15901060103',"
16104020311,709.4,,"'15901060301',"
16104020315,635.8,,"'15902010401',"
16104020319,673.1,,"'15902010520',"
16104020418,743.7,,"'15902020610',"
16104040331,661.96,,"'15902020615',"
16104040428,408.5,,"'15902020717',"
16104050126,1057.4,,"'15902040312',"
16104050134,569.9,,"'15902040313',"
16104050218,212.96,,"'15902040314',"
16104050233,490.94,,"'15902040319',"
16105040109,473.26,,"'15902060316',"
16105040111,606.9,,"'15904020309',"
16105040114,403.9,,"'16101130105',"
16105040126,799.6,,"'16102040232',"
16105040134,263.96,,"'16102040238',"
16105040135,471.66,,"'16102040339',"
16105040140,420.1,,"'16102040426',"
16105050106,576.1,,"'16102040436',"
16105050113,368.6,,"'16102040438',"
16105050124,254.8,,"'16104010120',"
16105050141,640.66,,"'16104020111',"
16151010101,477.9,,"'16104020311',"
16151010119,413.7,,"'16104020315',"
16151010122,380.9,,"'16104020319',"
16151010223,888.8,,"'16104020418',"
16151010303,1110.61,,"'16104040331',"
16151010323,556.8,,"'16104040428',"
16151010418,262.1,,"'16104050126',"
16151010505,496.85,,"'16104050134',"
16151010509,639.12,,"'16104050218',"
16151010526,383.5,,"'16104050233',"
16151010617,664.3,,"'16105040109',"
16151010618,731.16,,"'16105040111',"
16151010707,590.9,,"'16105040114',"
16152010123,718.5,,"'16105040126',"
16152010125,650.9,,"'16105040134',"
16152010128,781.04,,"'16105040135',"
16152010129,708.19,,"'16105040140',"
16152010220,627.2,,"'16105050106',"
16152010221,573.7,,"'16105050113',"
16152010226,638.9,,"'16105050124',"
16152010228,575.9,,"'16105050141',"
16152010301,669.86,,"'16151010101',"
16152010322,687.6,,"'16151010112',"
16152010326,658.3,,"'16151010119',"
16152010329,933.4,,"'16151010122',"
16152010403,454,,"'16151010223',"
16152010418,719.81,,"'16151010303',"
16152010421,669.4,,"'16151010323',"
16152010423,617,,"'16151010418',"
16152010425,420.42,,"'16151010505',"
16152010501,644.4,,"'16151010509',"
16152010519,580.38,,"'16151010526',"
16152010523,514.03,,"'16151010617',"
16152010525,262.4,,"'16151010618',"
16152010615,777.31,,"'16151010707',"
16152010620,577.26,,"'16152010123',"
16152010621,773.4,,"'16152010125',"
16152010625,426.87,,"'16152010128',"
16152010628,532.7,,"'16152010129',"
16152010709,579.11,,"'16152010220',"
16152010716,670.38,,"'16152010221',"
16152010718,533.26,,"'16152010226',"
16152010721,327.43,,"'16152010228',"
16152010722,548.64,,"'16152010301',"
16152010723,803.4,,"'16152010322',"
16152010728,465.8,,"'16152010326',"
16152010818,561,,"'16152010329',"
16152010827,688.23,,"'16152010403',"
16152010909,294.5,,"'16152010418',"
16152010912,468.01,,"'16152010421',"
16152010917,658.31,,"'16152010423',"
16152010923,537.4,,"'16152010425',"
16152010924,848.72,,"'16152010501',"
16153010112,461.7,,"'16152010519',"
16153010115,494.5,,"'16152010523',"
16153010117,509.2,,"'16152010525',"
16153010120,479.9,,"'16152010615',"
16153010123,217.1,,"'16152010620',"
